src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
COL,BLZ,2410,314044.333333335,130.308852005533,0.0404348847354116,0.00767407574089854
DZA,FRA,154,22383.0833333334,145.344696969697,0.00839877835951134,0.00688019598134006
GRC,CYP,1275,175556.416666667,137.691307189543,0.0245513363629361,0.00726262260422455
FIN,RUS,3368,100214.666666667,29.7549485352336,0.199207428875614,0.0336078551376378
GBR,IRL,7021,62806.75,8.94555618857712,0.236508792023176,0.111787347697501
BRB,CUB,150,22350.5,149.003333333334,0.129645635263613,0.00671125925594505
TGO,GHA,1516,5559.5,3.66721635883905,0.164943966924165,0.27268639266121
MNE,HRV,1009,64531.6666666668,63.9560621076975,0.0999504705299653,0.0156357343939668
BRA,JAM,65,10314.25,158.680769230769,0.00311094093998277,0.00630196087936592
SAU,OMN,223,28383.9166666667,127.282137518685,0.00630852357916773,0.00785656196143942
JAM,USA,705,91863.5000000001,130.302836879433,0.0522803114571746,0.00767442999667985
ZAF,MOZ,98,1489,15.1938775510204,0.0123831185241344,0.0658159838817998
CHN,IDN,35,5078.58333333334,145.102380952381,0.000581105761248547,0.00689168567349818
IND,SOM,51,7609.00000000001,149.196078431373,0.00167493185326283,0.00670258903929557
CUB,JAM,135,6707.16666666667,49.6827160493828,0.037751677852349,0.0201277240762368
EST,SWE,312,40987.2500000001,131.369391025641,0.0211038961038961,0.0076121232822402
VUT,AUS,719,117689,163.684283727399,0.399888765294772,0.00610932202669747
TGO,NGA,285,18254,64.0491228070176,0.031008595365031,0.015613016325189
JAM,PAN,149,16114.6666666667,108.152125279642,0.0110493140526511,0.00924623531358595
SGP,PHL,11,1323.83333333334,120.348484848485,0.00170120630992886,0.00830920307188717
AGO,BRA,2,331.833333333334,165.916666666667,0.00088339222614841,0.00602712204922149
TZA,OMN,3,415.250000000001,138.416666666667,9.29051438481311e-05,0.00722456351595423
BRB,TTO,4,147.166666666667,36.7916666666667,0.00345721694036301,0.0271800679501699
LKA,THA,14,2177.58333333334,155.541666666667,0.00383561643835616,0.00642914545941601
SLB,WSM,24,3678.41666666667,153.267361111111,0.000419852002169235,0.00652454634013727
MUS,MOZ,17,2443.58333333334,143.740196078432,0.00967007963594994,0.00695699621457558
